ConfigRuleName,SourceIdentifier
autoscaling-launch-config-public-ip-disabled,AUTOSCALING_LAUNCH_CONFIG_PUBLIC_IP_DISABLED
cloudtrail-enabled,CLOUD_TRAIL_ENABLED
dms-replication-not-public,DMS_REPLICATION_NOT_PUBLIC
ebs-optimized-instance,EBS_OPTIMIZED_INSTANCE
ebs-snapshot-public-restorable-check,EBS_SNAPSHOT_PUBLIC_RESTORABLE_CHECK
ec2-instance-no-public-ip,EC2_INSTANCE_NO_PUBLIC_IP
ec2-volume-inuse-check,EC2_VOLUME_INUSE_CHECK
eks-endpoint-no-public-access,EKS_ENDPOINT_NO_PUBLIC_ACCESS
elasticsearch-in-vpc-only,ELASTICSEARCH_IN_VPC_ONLY
emr-master-no-public-ip,EMR_MASTER_NO_PUBLIC_IP
encrypted-volumes,ENCRYPTED_VOLUMES
iam-user-mfa-enabled,IAM_USER_MFA_ENABLED
restricted-ssh,INCOMING_SSH_DISABLED
lambda-function-public-access-prohibited,LAMBDA_FUNCTION_PUBLIC_ACCESS_PROHIBITED
mfa-enabled-for-iam-console-access,MFA_ENABLED_FOR_IAM_CONSOLE_ACCESS
no-unrestricted-route-to-igw,NO_UNRESTRICTED_ROUTE_TO_IGW
rds-instance-public-access-check,RDS_INSTANCE_PUBLIC_ACCESS_CHECK
rds-snapshots-public-prohibited,RDS_SNAPSHOTS_PUBLIC_PROHIBITED
rds-storage-encrypted,RDS_STORAGE_ENCRYPTED
redshift-cluster-public-access-check,REDSHIFT_CLUSTER_PUBLIC_ACCESS_CHECK
restricted-common-ports,RESTRICTED_INCOMING_TRAFFIC
root-account-hardware-mfa-enabled,ROOT_ACCOUNT_HARDWARE_MFA_ENABLED
root-account-mfa-enabled,ROOT_ACCOUNT_MFA_ENABLED
s3-account-level-public-access-blocks-periodic,S3_ACCOUNT_LEVEL_PUBLIC_ACCESS_BLOCKS_PERIODIC
s3-bucket-public-read-prohibited,S3_BUCKET_PUBLIC_READ_PROHIBITED
s3-bucket-public-write-prohibited,S3_BUCKET_PUBLIC_WRITE_PROHIBITED
s3-bucket-versioning-enabled,S3_BUCKET_VERSIONING_ENABLED
sagemaker-notebook-no-direct-internet-access,SAGEMAKER_NOTEBOOK_NO_DIRECT_INTERNET_ACCESS
ssm-document-not-public,SSM_DOCUMENT_NOT_PUBLIC
subnet-auto-assign-public-ip-disabled,SUBNET_AUTO_ASSIGN_PUBLIC_IP_DISABLED
