ConfigRuleName,SourceIdentifier
alb-desync-mode-check,ALB_DESYNC_MODE_CHECK
alb-http-drop-invalid-header-enabled,ALB_HTTP_DROP_INVALID_HEADER_ENABLED
alb-http-to-https-redirection-check,ALB_HTTP_TO_HTTPS_REDIRECTION_CHECK
alb-waf-enabled,ALB_WAF_ENABLED
api-gw-associated-with-waf,API_GW_ASSOCIATED_WITH_WAF
api-gw-cache-enabled-and-encrypted,API_GW_CACHE_ENABLED_AND_ENCRYPTED
api-gw-execution-logging-enabled,API_GW_EXECUTION_LOGGING_ENABLED
api-gw-ssl-enabled,API_GW_SSL_ENABLED
api-gw-xray-enabled,API_GW_XRAY_ENABLED
autoscaling-group-elb-healthcheck-required,AUTOSCALING_GROUP_ELB_HEALTHCHECK_REQUIRED
clb-desync-mode-check,CLB_DESYNC_MODE_CHECK
elb-acm-certificate-required,ELB_ACM_CERTIFICATE_REQUIRED
elb-cross-zone-load-balancing-enabled,ELB_CROSS_ZONE_LOAD_BALANCING_ENABLED
elb-deletion-protection-enabled,ELB_DELETION_PROTECTION_ENABLED
elb-logging-enabled,ELB_LOGGING_ENABLED
elb-tls-https-listeners-only,ELB_TLS_HTTPS_LISTENERS_ONLY
elbv2-acm-certificate-required,ELBV2_ACM_CERTIFICATE_REQUIRED
restricted-ssh,INCOMING_SSH_DISABLED
ec2-instances-in-vpc,INSTANCES_IN_VPC
internet-gateway-authorized-vpc-only,INTERNET_GATEWAY_AUTHORIZED_VPC_ONLY
nacl-no-unrestricted-ssh-rdp,NACL_NO_UNRESTRICTED_SSH_RDP
restricted-common-ports,RESTRICTED_INCOMING_TRAFFIC
vpc-default-security-group-closed,VPC_DEFAULT_SECURITY_GROUP_CLOSED
vpc-flow-logs-enabled,VPC_FLOW_LOGS_ENABLED
vpc-network-acl-unused-check,VPC_NETWORK_ACL_UNUSED_CHECK
vpc-sg-open-only-to-authorized-ports,VPC_SG_OPEN_ONLY_TO_AUTHORIZED_PORTS
vpc-vpn-2-tunnels-up,VPC_VPN_2_TUNNELS_UP
