ConfigRuleName,SourceIdentifier
access-keys-rotated,ACCESS_KEYS_ROTATED
account-part-of-organizations,ACCOUNT_PART_OF_ORGANIZATIONS
acm-certificate-expiration-check,ACM_CERTIFICATE_EXPIRATION_CHECK
alb-waf-enabled,ALB_WAF_ENABLED
api-gw-associated-with-waf,API_GW_ASSOCIATED_WITH_WAF
api-gw-execution-logging-enabled,API_GW_EXECUTION_LOGGING_ENABLED
cloud-trail-cloud-watch-logs-enabled,CLOUD_TRAIL_CLOUD_WATCH_LOGS_ENABLED
cloudtrail-enabled,CLOUD_TRAIL_ENABLED
cloud-trail-encryption-enabled,CLOUD_TRAIL_ENCRYPTION_ENABLED
cloud-trail-log-file-validation-enabled,CLOUD_TRAIL_LOG_FILE_VALIDATION_ENABLED
cloudtrail-security-trail-enabled,CLOUDTRAIL_SECURITY_TRAIL_ENABLED
cloudwatch-alarm-action-check,CLOUDWATCH_ALARM_ACTION_CHECK
cmk-backing-key-rotation-enabled,CMK_BACKING_KEY_ROTATION_ENABLED
elb-logging-enabled,ELB_LOGGING_ENABLED
guardduty-enabled-centralized,GUARDDUTY_ENABLED_CENTRALIZED
guardduty-non-archived-findings,GUARDDUTY_NON_ARCHIVED_FINDINGS
iam-customer-policy-blocked-kms-actions,IAM_CUSTOMER_POLICY_BLOCKED_KMS_ACTIONS
iam-group-has-users-check,IAM_GROUP_HAS_USERS_CHECK
iam-inline-policy-blocked-kms-actions,IAM_INLINE_POLICY_BLOCKED_KMS_ACTIONS
iam-no-inline-policy-check,IAM_NO_INLINE_POLICY_CHECK
iam-password-policy,IAM_PASSWORD_POLICY
iam-policy-no-statements-with-admin-access,IAM_POLICY_NO_STATEMENTS_WITH_ADMIN_ACCESS
iam-policy-no-statements-with-full-access,IAM_POLICY_NO_STATEMENTS_WITH_FULL_ACCESS
iam-root-access-key-check,IAM_ROOT_ACCESS_KEY_CHECK
iam-user-group-membership-check,IAM_USER_GROUP_MEMBERSHIP_CHECK
iam-user-mfa-enabled,IAM_USER_MFA_ENABLED
iam-user-no-policies-check,IAM_USER_NO_POLICIES_CHECK
iam-user-unused-credentials-check,IAM_USER_UNUSED_CREDENTIALS_CHECK
restricted-ssh,INCOMING_SSH_DISABLED
kms-cmk-not-scheduled-for-deletion,KMS_CMK_NOT_SCHEDULED_FOR_DELETION
mfa-enabled-for-iam-console-access,MFA_ENABLED_FOR_IAM_CONSOLE_ACCESS
multi-region-cloudtrail-enabled,MULTI_REGION_CLOUD_TRAIL_ENABLED
netfw-policy-rule-group-associated,NETFW_POLICY_RULE_GROUP_ASSOCIATED
netfw-stateless-rule-group-not-empty,NETFW_STATELESS_RULE_GROUP_NOT_EMPTY
rds-logging-enabled,RDS_LOGGING_ENABLED
restricted-common-ports,RESTRICTED_INCOMING_TRAFFIC
root-account-hardware-mfa-enabled,ROOT_ACCOUNT_HARDWARE_MFA_ENABLED
root-account-mfa-enabled,ROOT_ACCOUNT_MFA_ENABLED
s3-account-level-public-access-blocks-periodic,S3_ACCOUNT_LEVEL_PUBLIC_ACCESS_BLOCKS_PERIODIC
s3-bucket-logging-enabled,S3_BUCKET_LOGGING_ENABLED
secretsmanager-rotation-enabled-check,SECRETSMANAGER_ROTATION_ENABLED_CHECK
secretsmanager-scheduled-rotation-success-check,SECRETSMANAGER_SCHEDULED_ROTATION_SUCCESS_CHECK
secretsmanager-secret-periodic-rotation,SECRETSMANAGER_SECRET_PERIODIC_ROTATION
secretsmanager-secret-unused,SECRETSMANAGER_SECRET_UNUSED
securityhub-enabled,SECURITYHUB_ENABLED
vpc-default-security-group-closed,VPC_DEFAULT_SECURITY_GROUP_CLOSED
vpc-sg-open-only-to-authorized-ports,VPC_SG_OPEN_ONLY_TO_AUTHORIZED_PORTS
wafv2-logging-enabled,WAFV2_LOGGING_ENABLED
