ConfigRuleName,SourceIdentifier
cloudtrail-s3-dataevents-enabled,CLOUDTRAIL_S3_DATAEVENTS_ENABLED
ecs-container-insights-enabled,ECS_CONTAINER_INSIGHTS_ENABLED
ecs-containers-nonprivileged,ECS_CONTAINERS_NONPRIVILEGED
ecs-containers-readonly-access,ECS_CONTAINERS_READONLY_ACCESS
ecs-fargate-latest-platform-version,ECS_FARGATE_LATEST_PLATFORM_VERSION
ecs-no-environment-secrets,ECS_NO_ENVIRONMENT_SECRETS
ecs-task-definition-memory-hard-limit,ECS_TASK_DEFINITION_MEMORY_HARD_LIMIT
ecs-task-definition-nonroot-user,ECS_TASK_DEFINITION_NONROOT_USER
ecs-task-definition-pid-mode-check,ECS_TASK_DEFINITION_PID_MODE_CHECK
ecs-task-definition-user-for-host-mode-check,ECS_TASK_DEFINITION_USER_FOR_HOST_MODE_CHECK
efs-access-point-enforce-root-directory,EFS_ACCESS_POINT_ENFORCE_ROOT_DIRECTORY
efs-access-point-enforce-user-identity,EFS_ACCESS_POINT_ENFORCE_USER_IDENTITY
efs-encrypted-check,EFS_ENCRYPTED_CHECK
efs-in-backup-plan,EFS_IN_BACKUP_PLAN
eks-cluster-oldest-supported-version,EKS_CLUSTER_OLDEST_SUPPORTED_VERSION
eks-cluster-supported-version,EKS_CLUSTER_SUPPORTED_VERSION
eks-endpoint-no-public-access,EKS_ENDPOINT_NO_PUBLIC_ACCESS
eks-secrets-encrypted,EKS_SECRETS_ENCRYPTED
emr-kerberos-enabled,EMR_KERBEROS_ENABLED
emr-master-no-public-ip,EMR_MASTER_NO_PUBLIC_IP
s3-account-level-public-access-blocks-periodic,S3_ACCOUNT_LEVEL_PUBLIC_ACCESS_BLOCKS_PERIODIC
s3-bucket-acl-prohibited,S3_BUCKET_ACL_PROHIBITED
s3-bucket-default-lock-enabled,S3_BUCKET_DEFAULT_LOCK_ENABLED
s3-bucket-level-public-access-prohibited,S3_BUCKET_LEVEL_PUBLIC_ACCESS_PROHIBITED
s3-bucket-logging-enabled,S3_BUCKET_LOGGING_ENABLED
s3-bucket-policy-grantee-check,S3_BUCKET_POLICY_GRANTEE_CHECK
s3-bucket-public-read-prohibited,S3_BUCKET_PUBLIC_READ_PROHIBITED
s3-bucket-public-write-prohibited,S3_BUCKET_PUBLIC_WRITE_PROHIBITED
s3-bucket-replication-enabled,S3_BUCKET_REPLICATION_ENABLED
s3-bucket-server-side-encryption-enabled,S3_BUCKET_SERVER_SIDE_ENCRYPTION_ENABLED
s3-bucket-ssl-requests-only,S3_BUCKET_SSL_REQUESTS_ONLY
s3-bucket-versioning-enabled,S3_BUCKET_VERSIONING_ENABLED
s3-default-encryption-kms,S3_DEFAULT_ENCRYPTION_KMS
sagemaker-endpoint-configuration-kms-key-configured,SAGEMAKER_ENDPOINT_CONFIGURATION_KMS_KEY_CONFIGURED
sagemaker-notebook-instance-kms-key-configured,SAGEMAKER_NOTEBOOK_INSTANCE_KMS_KEY_CONFIGURED
sagemaker-notebook-no-direct-internet-access,SAGEMAKER_NOTEBOOK_NO_DIRECT_INTERNET_ACCESS
