ConfigRuleName,SourceIdentifier
api-gw-execution-logging-enabled,API_GW_EXECUTION_LOGGING_ENABLED
api-gw-xray-enabled,API_GW_XRAY_ENABLED
aurora-resources-protected-by-backup-plan,AURORA_RESOURCES_PROTECTED_BY_BACKUP_PLAN
autoscaling-group-elb-healthcheck-required,AUTOSCALING_GROUP_ELB_HEALTHCHECK_REQUIRED
backup-plan-min-frequency-and-min-retention-check,BACKUP_PLAN_MIN_FREQUENCY_AND_MIN_RETENTION_CHECK
backup-recovery-point-encrypted,BACKUP_RECOVERY_POINT_ENCRYPTED
backup-recovery-point-minimum-retention-check,BACKUP_RECOVERY_POINT_MINIMUM_RETENTION_CHECK
beanstalk-enhanced-health-reporting-enabled,BEANSTALK_ENHANCED_HEALTH_REPORTING_ENABLED
clb-multiple-az,CLB_MULTIPLE_AZ
cloud-trail-cloud-watch-logs-enabled,CLOUD_TRAIL_CLOUD_WATCH_LOGS_ENABLED
cloudtrail-enabled,CLOUD_TRAIL_ENABLED
cloudtrail-s3-dataevents-enabled,CLOUDTRAIL_S3_DATAEVENTS_ENABLED
cloudwatch-alarm-action-check,CLOUDWATCH_ALARM_ACTION_CHECK
db-instance-backup-enabled,DB_INSTANCE_BACKUP_ENABLED
dynamodb-autoscaling-enabled,DYNAMODB_AUTOSCALING_ENABLED
dynamodb-in-backup-plan,DYNAMODB_IN_BACKUP_PLAN
dynamodb-pitr-enabled,DYNAMODB_PITR_ENABLED
dynamodb-table-encrypted-kms,DYNAMODB_TABLE_ENCRYPTED_KMS
dynamodb-throughput-limit-check,DYNAMODB_THROUGHPUT_LIMIT_CHECK
ebs-in-backup-plan,EBS_IN_BACKUP_PLAN
ebs-optimized-instance,EBS_OPTIMIZED_INSTANCE
ec2-ebs-encryption-by-default,EC2_EBS_ENCRYPTION_BY_DEFAULT
ec2-instance-detailed-monitoring-enabled,EC2_INSTANCE_DETAILED_MONITORING_ENABLED
ec2-managedinstance-association-compliance-status-check,EC2_MANAGEDINSTANCE_ASSOCIATION_COMPLIANCE_STATUS_CHECK
ec2-managedinstance-patch-compliance-status-check,EC2_MANAGEDINSTANCE_PATCH_COMPLIANCE_STATUS_CHECK
ec2-resources-protected-by-backup-plan,EC2_RESOURCES_PROTECTED_BY_BACKUP_PLAN
ecs-container-insights-enabled,ECS_CONTAINER_INSIGHTS_ENABLED
ecs-task-definition-memory-hard-limit,ECS_TASK_DEFINITION_MEMORY_HARD_LIMIT
efs-encrypted-check,EFS_ENCRYPTED_CHECK
efs-in-backup-plan,EFS_IN_BACKUP_PLAN
elasticache-redis-cluster-automatic-backup-check,ELASTICACHE_REDIS_CLUSTER_AUTOMATIC_BACKUP_CHECK
elasticsearch-logs-to-cloudwatch,ELASTICSEARCH_LOGS_TO_CLOUDWATCH
elb-cross-zone-load-balancing-enabled,ELB_CROSS_ZONE_LOAD_BALANCING_ENABLED
elb-deletion-protection-enabled,ELB_DELETION_PROTECTION_ENABLED
elb-logging-enabled,ELB_LOGGING_ENABLED
elbv2-multiple-az,ELBV2_MULTIPLE_AZ
encrypted-volumes,ENCRYPTED_VOLUMES
fsx-resources-protected-by-backup-plan,FSX_RESOURCES_PROTECTED_BY_BACKUP_PLAN
guardduty-enabled-centralized,GUARDDUTY_ENABLED_CENTRALIZED
ec2-instances-in-vpc,INSTANCES_IN_VPC
lambda-concurrency-check,LAMBDA_CONCURRENCY_CHECK
lambda-dlq-check,LAMBDA_DLQ_CHECK
lambda-vpc-multi-az-check,LAMBDA_VPC_MULTI_AZ_CHECK
multi-region-cloudtrail-enabled,MULTI_REGION_CLOUD_TRAIL_ENABLED
opensearch-data-node-fault-tolerance,OPENSEARCH_DATA_NODE_FAULT_TOLERANCE
opensearch-logs-to-cloudwatch,OPENSEARCH_LOGS_TO_CLOUDWATCH
rds-automatic-minor-version-upgrade-enabled,RDS_AUTOMATIC_MINOR_VERSION_UPGRADE_ENABLED
rds-enhanced-monitoring-enabled,RDS_ENHANCED_MONITORING_ENABLED
rds-in-backup-plan,RDS_IN_BACKUP_PLAN
rds-instance-deletion-protection-enabled,RDS_INSTANCE_DELETION_PROTECTION_ENABLED
rds-logging-enabled,RDS_LOGGING_ENABLED
rds-multi-az-support,RDS_MULTI_AZ_SUPPORT
rds-cluster-multi-az-enabled,RDS_CLUSTER_MULTI_AZ_ENABLED
rds-snapshot-encrypted,RDS_SNAPSHOT_ENCRYPTED
rds-storage-encrypted,RDS_STORAGE_ENCRYPTED
redshift-backup-enabled,REDSHIFT_BACKUP_ENABLED
redshift-cluster-kms-enabled,REDSHIFT_CLUSTER_KMS_ENABLED
redshift-cluster-maintenancesettings-check,REDSHIFT_CLUSTER_MAINTENANCESETTINGS_CHECK
redshift-enhanced-vpc-routing-enabled,REDSHIFT_ENHANCED_VPC_ROUTING_ENABLED
s3-bucket-default-lock-enabled,S3_BUCKET_DEFAULT_LOCK_ENABLED
s3-bucket-logging-enabled,S3_BUCKET_LOGGING_ENABLED
s3-bucket-replication-enabled,S3_BUCKET_REPLICATION_ENABLED
s3-bucket-server-side-encryption-enabled,S3_BUCKET_SERVER_SIDE_ENCRYPTION_ENABLED
s3-bucket-versioning-enabled,S3_BUCKET_VERSIONING_ENABLED
s3-default-encryption-kms,S3_DEFAULT_ENCRYPTION_KMS
securityhub-enabled,SECURITYHUB_ENABLED
vpc-flow-logs-enabled,VPC_FLOW_LOGS_ENABLED
vpc-vpn-2-tunnels-up,VPC_VPN_2_TUNNELS_UP
wafv2-logging-enabled,WAFV2_LOGGING_ENABLED
