ConfigRuleName,SourceIdentifier
aurora-resources-protected-by-backup-plan,AURORA_RESOURCES_PROTECTED_BY_BACKUP_PLAN
autoscaling-capacity-rebalancing,AUTOSCALING_CAPACITY_REBALANCING
autoscaling-group-elb-healthcheck-required,AUTOSCALING_GROUP_ELB_HEALTHCHECK_REQUIRED
autoscaling-multiple-az,AUTOSCALING_MULTIPLE_AZ
autoscaling-multiple-instance-types,AUTOSCALING_MULTIPLE_INSTANCE_TYPES
backup-plan-min-frequency-and-min-retention-check,BACKUP_PLAN_MIN_FREQUENCY_AND_MIN_RETENTION_CHECK
backup-recovery-point-encrypted,BACKUP_RECOVERY_POINT_ENCRYPTED
backup-recovery-point-manual-deletion-disabled,BACKUP_RECOVERY_POINT_MANUAL_DELETION_DISABLED
backup-recovery-point-minimum-retention-check,BACKUP_RECOVERY_POINT_MINIMUM_RETENTION_CHECK
beanstalk-enhanced-health-reporting-enabled,BEANSTALK_ENHANCED_HEALTH_REPORTING_ENABLED
clb-multiple-az,CLB_MULTIPLE_AZ
db-instance-backup-enabled,DB_INSTANCE_BACKUP_ENABLED
dynamodb-autoscaling-enabled,DYNAMODB_AUTOSCALING_ENABLED
dynamodb-in-backup-plan,DYNAMODB_IN_BACKUP_PLAN
dynamodb-pitr-enabled,DYNAMODB_PITR_ENABLED
dynamodb-throughput-limit-check,DYNAMODB_THROUGHPUT_LIMIT_CHECK
ebs-in-backup-plan,EBS_IN_BACKUP_PLAN
ebs-optimized-instance,EBS_OPTIMIZED_INSTANCE
ec2-resources-protected-by-backup-plan,EC2_RESOURCES_PROTECTED_BY_BACKUP_PLAN
ecr-private-lifecycle-policy-configured,ECR_PRIVATE_LIFECYCLE_POLICY_CONFIGURED
efs-in-backup-plan,EFS_IN_BACKUP_PLAN
elasticache-redis-cluster-automatic-backup-check,ELASTICACHE_REDIS_CLUSTER_AUTOMATIC_BACKUP_CHECK
elb-cross-zone-load-balancing-enabled,ELB_CROSS_ZONE_LOAD_BALANCING_ENABLED
elb-deletion-protection-enabled,ELB_DELETION_PROTECTION_ENABLED
fsx-resources-protected-by-backup-plan,FSX_RESOURCES_PROTECTED_BY_BACKUP_PLAN
lambda-concurrency-check,LAMBDA_CONCURRENCY_CHECK
lambda-vpc-multi-az-check,LAMBDA_VPC_MULTI_AZ_CHECK
opensearch-data-node-fault-tolerance,OPENSEARCH_DATA_NODE_FAULT_TOLERANCE
rds-in-backup-plan,RDS_IN_BACKUP_PLAN
rds-instance-deletion-protection-enabled,RDS_INSTANCE_DELETION_PROTECTION_ENABLED
rds-multi-az-support,RDS_MULTI_AZ_SUPPORT
rds-cluster-multi-az-enabled,RDS_CLUSTER_MULTI_AZ_ENABLED
redshift-backup-enabled,REDSHIFT_BACKUP_ENABLED
s3-bucket-default-lock-enabled,S3_BUCKET_DEFAULT_LOCK_ENABLED
s3-bucket-replication-enabled,S3_BUCKET_REPLICATION_ENABLED
s3-bucket-versioning-enabled,S3_BUCKET_VERSIONING_ENABLED
s3-version-lifecycle-policy-check,S3_VERSION_LIFECYCLE_POLICY_CHECK
vpc-vpn-2-tunnels-up,VPC_VPN_2_TUNNELS_UP
