ConfigRuleName,SourceIdentifier
MFAEnabledForIamConsoleAccess,MFA_ENABLED_FOR_IAM_CONSOLE_ACCESS
IAMUserUnusedCredentialCheck,IAM_USER_UNUSED_CREDENTIALS_CHECK
AccessKeysRotated,ACCESS_KEYS_ROTATED
IAMPasswordPolicyCheck,IAM_PASSWORD_POLICY
IAMRootAccessKeyCheck,IAM_ROOT_ACCESS_KEY_CHECK
RootAccountMFAEnabled,ROOT_ACCOUNT_MFA_ENABLED
RootAccountHardwareMFAEnabled,ROOT_ACCOUNT_HARDWARE_MFA_ENABLED
IAMUserNoPoliciesCheck,IAM_USER_NO_POLICIES_CHECK
IAMSupportPolicyInUse,IAM_POLICY_IN_USE
IAMPolicyNoStatementWithAdminAccess,IAM_POLICY_NO_STATEMENTS_WITH_ADMIN_ACCESS
MultiRegionCloudTrailEnabled,MULTI_REGION_CLOUD_TRAIL_ENABLED
CloudTrailLogFileValidationEnabled,CLOUD_TRAIL_LOG_FILE_VALIDATION_ENABLED
S3BucketPublicReadProhibited,S3_BUCKET_PUBLIC_READ_PROHIBITED
S3BucketPublicWriteProhibited,S3_BUCKET_PUBLIC_WRITE_PROHIBITED
CloudTrailCloudWatchLogsEnabled,CLOUD_TRAIL_CLOUD_WATCH_LOGS_ENABLED
S3BucketLoggingEnabled,S3_BUCKET_LOGGING_ENABLED
CloudTrailEncryptionEnabled,CLOUD_TRAIL_ENCRYPTION_ENABLED
CMKBackingKeyRotationEnabled,CMK_BACKING_KEY_ROTATION_ENABLED
VPCFlowLogsEnabled,VPC_FLOW_LOGS_ENABLED
IncomingSSHDisabled,INCOMING_SSH_DISABLED
RestrictedIncomingTraffic,RESTRICTED_INCOMING_TRAFFIC
VPCDefaultSecurityGroupClosed,VPC_DEFAULT_SECURITY_GROUP_CLOSED
