ConfigRuleName,SourceIdentifier
autoscaling-capacity-rebalancing,AUTOSCALING_CAPACITY_REBALANCING
autoscaling-group-elb-healthcheck-required,AUTOSCALING_GROUP_ELB_HEALTHCHECK_REQUIRED
autoscaling-launch-config-hop-limit,AUTOSCALING_LAUNCH_CONFIG_HOP_LIMIT
autoscaling-launch-config-public-ip-disabled,AUTOSCALING_LAUNCH_CONFIG_PUBLIC_IP_DISABLED
autoscaling-launchconfig-requires-imdsv2,AUTOSCALING_LAUNCHCONFIG_REQUIRES_IMDSV2
autoscaling-multiple-az,AUTOSCALING_MULTIPLE_AZ
autoscaling-multiple-instance-types,AUTOSCALING_MULTIPLE_INSTANCE_TYPES
cloudwatch-alarm-resource-check,CLOUDWATCH_ALARM_RESOURCE_CHECK
ebs-in-backup-plan,EBS_IN_BACKUP_PLAN
ebs-optimized-instance,EBS_OPTIMIZED_INSTANCE
ebs-snapshot-public-restorable-check,EBS_SNAPSHOT_PUBLIC_RESTORABLE_CHECK
ec2-ebs-encryption-by-default,EC2_EBS_ENCRYPTION_BY_DEFAULT
ec2-imdsv2-check,EC2_IMDSV2_CHECK
ec2-instance-detailed-monitoring-enabled,EC2_INSTANCE_DETAILED_MONITORING_ENABLED
ec2-instance-managed-by-systems-manager,EC2_INSTANCE_MANAGED_BY_SSM
ec2-instance-multiple-eni-check,EC2_INSTANCE_MULTIPLE_ENI_CHECK
ec2-instance-no-public-ip,EC2_INSTANCE_NO_PUBLIC_IP
ec2-instance-profile-attached,EC2_INSTANCE_PROFILE_ATTACHED
ec2-managedinstance-association-compliance-status-check,EC2_MANAGEDINSTANCE_ASSOCIATION_COMPLIANCE_STATUS_CHECK
ec2-managedinstance-patch-compliance-status-check,EC2_MANAGEDINSTANCE_PATCH_COMPLIANCE_STATUS_CHECK
ec2-no-amazon-key-pair,EC2_NO_AMAZON_KEY_PAIR
ec2-security-group-attached-to-eni-periodic,EC2_SECURITY_GROUP_ATTACHED_TO_ENI_PERIODIC
ec2-stopped-instance,EC2_STOPPED_INSTANCE
ec2-token-hop-limit-check,EC2_TOKEN_HOP_LIMIT_CHECK
ec2-volume-inuse-check,EC2_VOLUME_INUSE_CHECK
eip-attached,EIP_ATTACHED
encrypted-volumes,ENCRYPTED_VOLUMES
restricted-ssh,INCOMING_SSH_DISABLED
ec2-instances-in-vpc,INSTANCES_IN_VPC
lambda-concurrency-check,LAMBDA_CONCURRENCY_CHECK
lambda-dlq-check,LAMBDA_DLQ_CHECK
lambda-function-public-access-prohibited,LAMBDA_FUNCTION_PUBLIC_ACCESS_PROHIBITED
lambda-inside-vpc,LAMBDA_INSIDE_VPC
lambda-vpc-multi-az-check,LAMBDA_VPC_MULTI_AZ_CHECK
service-vpc-endpoint-enabled,SERVICE_VPC_ENDPOINT_ENABLED
service-vpc-endpoint-enabled-2,SERVICE_VPC_ENDPOINT_ENABLED
