ConfigRuleName,SourceIdentifier
aurora-resources-protected-by-backup-plan,AURORA_RESOURCES_PROTECTED_BY_BACKUP_PLAN
db-instance-backup-enabled,DB_INSTANCE_BACKUP_ENABLED
dms-replication-not-public,DMS_REPLICATION_NOT_PUBLIC
dynamodb-autoscaling-enabled,DYNAMODB_AUTOSCALING_ENABLED
dynamodb-in-backup-plan,DYNAMODB_IN_BACKUP_PLAN
dynamodb-pitr-enabled,DYNAMODB_PITR_ENABLED
dynamodb-table-encrypted-kms,DYNAMODB_TABLE_ENCRYPTED_KMS
dynamodb-throughput-limit-check,DYNAMODB_THROUGHPUT_LIMIT_CHECK
rds-automatic-minor-version-upgrade-enabled,RDS_AUTOMATIC_MINOR_VERSION_UPGRADE_ENABLED
rds-enhanced-monitoring-enabled,RDS_ENHANCED_MONITORING_ENABLED
rds-in-backup-plan,RDS_IN_BACKUP_PLAN
rds-instance-default-admin-check,RDS_INSTANCE_DEFAULT_ADMIN_CHECK
rds-instance-deletion-protection-enabled,RDS_INSTANCE_DELETION_PROTECTION_ENABLED
rds-instance-public-access-check,RDS_INSTANCE_PUBLIC_ACCESS_CHECK
rds-logging-enabled,RDS_LOGGING_ENABLED
rds-multi-az-support,RDS_MULTI_AZ_SUPPORT
rds-cluster-multi-az-enabled,RDS_CLUSTER_MULTI_AZ_ENABLED
rds-snapshot-encrypted,RDS_SNAPSHOT_ENCRYPTED
rds-snapshots-public-prohibited,RDS_SNAPSHOTS_PUBLIC_PROHIBITED
rds-storage-encrypted,RDS_STORAGE_ENCRYPTED
redshift-audit-logging-enabled,REDSHIFT_AUDIT_LOGGING_ENABLED
redshift-backup-enabled,REDSHIFT_BACKUP_ENABLED
redshift-cluster-configuration-check,REDSHIFT_CLUSTER_CONFIGURATION_CHECK
redshift-cluster-kms-enabled,REDSHIFT_CLUSTER_KMS_ENABLED
redshift-cluster-maintenancesettings-check,REDSHIFT_CLUSTER_MAINTENANCESETTINGS_CHECK
redshift-cluster-public-access-check,REDSHIFT_CLUSTER_PUBLIC_ACCESS_CHECK
redshift-default-admin-check,REDSHIFT_DEFAULT_ADMIN_CHECK
redshift-default-db-name-check,REDSHIFT_DEFAULT_DB_NAME_CHECK
redshift-enhanced-vpc-routing-enabled,REDSHIFT_ENHANCED_VPC_ROUTING_ENABLED
redshift-require-tls-ssl,REDSHIFT_REQUIRE_TLS_SSL
