ConfigRuleName,SourceIdentifier
api-gw-xray-enabled,API_GW_XRAY_ENABLED
beanstalk-enhanced-health-reporting-enabled,BEANSTALK_ENHANCED_HEALTH_REPORTING_ENABLED
cloudformation-stack-notification-check,CLOUDFORMATION_STACK_NOTIFICATION_CHECK
codebuild-project-artifact-encryption,CODEBUILD_PROJECT_ARTIFACT_ENCRYPTION
codebuild-project-environment-privileged-check,CODEBUILD_PROJECT_ENVIRONMENT_PRIVILEGED_CHECK
codebuild-project-envvar-awscred-check,CODEBUILD_PROJECT_ENVVAR_AWSCRED_CHECK
codebuild-project-logging-enabled,CODEBUILD_PROJECT_LOGGING_ENABLED
codebuild-project-s3-logs-encrypted,CODEBUILD_PROJECT_S3_LOGS_ENCRYPTED
codebuild-project-source-repo-url-check,CODEBUILD_PROJECT_SOURCE_REPO_URL_CHECK
codedeploy-auto-rollback-monitor-enabled,CODEDEPLOY_AUTO_ROLLBACK_MONITOR_ENABLED
codedeploy-ec2-minimum-healthy-hosts-configured,CODEDEPLOY_EC2_MINIMUM_HEALTHY_HOSTS_CONFIGURED
codedeploy-lambda-allatonce-traffic-shift-disabled,CODEDEPLOY_LAMBDA_ALLATONCE_TRAFFIC_SHIFT_DISABLED
codepipeline-deployment-count-check,CODEPIPELINE_DEPLOYMENT_COUNT_CHECK
codepipeline-region-fanout-check,CODEPIPELINE_REGION_FANOUT_CHECK
ecr-private-image-scanning-enabled,ECR_PRIVATE_IMAGE_SCANNING_ENABLED
ecr-private-lifecycle-policy-configured,ECR_PRIVATE_LIFECYCLE_POLICY_CONFIGURED
ecr-private-tag-immutability-enabled,ECR_PRIVATE_TAG_IMMUTABILITY_ENABLED
ecs-container-insights-enabled,ECS_CONTAINER_INSIGHTS_ENABLED
ecs-containers-nonprivileged,ECS_CONTAINERS_NONPRIVILEGED
ecs-containers-readonly-access,ECS_CONTAINERS_READONLY_ACCESS
ecs-fargate-latest-platform-version,ECS_FARGATE_LATEST_PLATFORM_VERSION
ecs-task-definition-memory-hard-limit,ECS_TASK_DEFINITION_MEMORY_HARD_LIMIT
ecs-task-definition-nonroot-user,ECS_TASK_DEFINITION_NONROOT_USER
ecs-task-definition-pid-mode-check,ECS_TASK_DEFINITION_PID_MODE_CHECK
ecs-task-definition-user-for-host-mode-check,ECS_TASK_DEFINITION_USER_FOR_HOST_MODE_CHECK
eks-endpoint-no-public-access,EKS_ENDPOINT_NO_PUBLIC_ACCESS
eks-secrets-encrypted,EKS_SECRETS_ENCRYPTED
elastic-beanstalk-managed-updates-enabled,ELASTIC_BEANSTALK_MANAGED_UPDATES_ENABLED
