ConfigRuleName,SourceIdentifier
cloudwatch-alarm-resource-check,CLOUDWATCH_ALARM_RESOURCE_CHECK
ebs-optimized-instance,EBS_OPTIMIZED_INSTANCE
ebs-snapshot-public-restorable-check,EBS_SNAPSHOT_PUBLIC_RESTORABLE_CHECK
encrypted-volumes,ENCRYPTED_VOLUMES
ebs-resources-protected-by-backup-plan,EBS_RESOURCES_PROTECTED_BY_BACKUP_PLAN
ec2-ebs-encryption-by-default,EC2_EBS_ENCRYPTION_BY_DEFAULT
ec2-imdsv2-check,EC2_IMDSV2_CHECK
ec2-instance-detailed-monitoring-enabled,EC2_INSTANCE_DETAILED_MONITORING_ENABLED
ec2-instance-managed-by-systems-manager,EC2_INSTANCE_MANAGED_BY_SSM
ec2-instance-multiple-eni-check,EC2_INSTANCE_MULTIPLE_ENI_CHECK
ec2-instance-no-public-ip,EC2_INSTANCE_NO_PUBLIC_IP
ec2-instance-profile-attached,EC2_INSTANCE_PROFILE_ATTACHED
ec2-managedinstance-association-compliance-status-check,EC2_MANAGEDINSTANCE_ASSOCIATION_COMPLIANCE_STATUS_CHECK
ec2-managedinstance-patch-compliance-status-check,EC2_MANAGEDINSTANCE_PATCH_COMPLIANCE_STATUS_CHECK
ec2-no-amazon-key-pair,EC2_NO_AMAZON_KEY_PAIR
ec2-resources-protected-by-backup-plan,EC2_RESOURCES_PROTECTED_BY_BACKUP_PLAN
ec2-stopped-instance,EC2_STOPPED_INSTANCE
ec2-token-hop-limit-check,EC2_TOKEN_HOP_LIMIT_CHECK
ec2-volume-inuse-check,EC2_VOLUME_INUSE_CHECK
eip-attached,EIP_ATTACHED
restricted-ssh,INCOMING_SSH_DISABLED
service-vpc-endpoint-enabled,SERVICE_VPC_ENDPOINT_ENABLED
