ConfigRuleName,SourceIdentifier
access-keys-rotated,ACCESS_KEYS_ROTATED
alb-http-drop-invalid-header-enabled,ALB_HTTP_DROP_INVALID_HEADER_ENABLED
alb-http-to-https-redirection-check,ALB_HTTP_TO_HTTPS_REDIRECTION_CHECK
alb-waf-enabled,ALB_WAF_ENABLED
api-gw-associated-with-waf,API_GW_ASSOCIATED_WITH_WAF
api-gw-cache-enabled-and-encrypted,API_GW_CACHE_ENABLED_AND_ENCRYPTED
api-gw-execution-logging-enabled,API_GW_EXECUTION_LOGGING_ENABLED
api-gw-ssl-enabled,API_GW_SSL_ENABLED
aurora-resources-protected-by-backup-plan,AURORA_RESOURCES_PROTECTED_BY_BACKUP_PLAN
autoscaling-group-elb-healthcheck-required,AUTOSCALING_GROUP_ELB_HEALTHCHECK_REQUIRED
backup-plan-min-frequency-and-min-retention-check,BACKUP_PLAN_MIN_FREQUENCY_AND_MIN_RETENTION_CHECK
backup-recovery-point-manual-deletion-disabled,BACKUP_RECOVERY_POINT_MANUAL_DELETION_DISABLED
backup-recovery-point-minimum-retention-check,BACKUP_RECOVERY_POINT_MINIMUM_RETENTION_CHECK
beanstalk-enhanced-health-reporting-enabled,BEANSTALK_ENHANCED_HEALTH_REPORTING_ENABLED
clb-multiple-az,CLB_MULTIPLE_AZ
cloud-trail-cloud-watch-logs-enabled,CLOUD_TRAIL_CLOUD_WATCH_LOGS_ENABLED
cloudtrail-enabled,CLOUD_TRAIL_ENABLED
cloud-trail-encryption-enabled,CLOUD_TRAIL_ENCRYPTION_ENABLED
cloud-trail-log-file-validation-enabled,CLOUD_TRAIL_LOG_FILE_VALIDATION_ENABLED
cloudtrail-s3-dataevents-enabled,CLOUDTRAIL_S3_DATAEVENTS_ENABLED
cloudtrail-security-trail-enabled,CLOUDTRAIL_SECURITY_TRAIL_ENABLED
cloudwatch-log-group-encrypted,CLOUDWATCH_LOG_GROUP_ENCRYPTED
cmk-backing-key-rotation-enabled,CMK_BACKING_KEY_ROTATION_ENABLED
codebuild-project-artifact-encryption,CODEBUILD_PROJECT_ARTIFACT_ENCRYPTION
codebuild-project-envvar-awscred-check,CODEBUILD_PROJECT_ENVVAR_AWSCRED_CHECK
codebuild-project-logging-enabled,CODEBUILD_PROJECT_LOGGING_ENABLED
cw-loggroup-retention-period-check,CW_LOGGROUP_RETENTION_PERIOD_CHECK
db-instance-backup-enabled,DB_INSTANCE_BACKUP_ENABLED
dms-replication-not-public,DMS_REPLICATION_NOT_PUBLIC
dynamodb-autoscaling-enabled,DYNAMODB_AUTOSCALING_ENABLED
dynamodb-in-backup-plan,DYNAMODB_IN_BACKUP_PLAN
dynamodb-pitr-enabled,DYNAMODB_PITR_ENABLED
dynamodb-table-encrypted-kms,DYNAMODB_TABLE_ENCRYPTED_KMS
dynamodb-throughput-limit-check,DYNAMODB_THROUGHPUT_LIMIT_CHECK
ebs-in-backup-plan,EBS_IN_BACKUP_PLAN
ebs-snapshot-public-restorable-check,EBS_SNAPSHOT_PUBLIC_RESTORABLE_CHECK
ec2-ebs-encryption-by-default,EC2_EBS_ENCRYPTION_BY_DEFAULT
ec2-instance-no-public-ip,EC2_INSTANCE_NO_PUBLIC_IP
ec2-resources-protected-by-backup-plan,EC2_RESOURCES_PROTECTED_BY_BACKUP_PLAN
ecr-private-image-scanning-enabled,ECR_PRIVATE_IMAGE_SCANNING_ENABLED
ecs-containers-nonprivileged,ECS_CONTAINERS_NONPRIVILEGED
ecs-containers-readonly-access,ECS_CONTAINERS_READONLY_ACCESS
ecs-task-definition-user-for-host-mode-check,ECS_TASK_DEFINITION_USER_FOR_HOST_MODE_CHECK
efs-access-point-enforce-root-directory,EFS_ACCESS_POINT_ENFORCE_ROOT_DIRECTORY
efs-access-point-enforce-user-identity,EFS_ACCESS_POINT_ENFORCE_USER_IDENTITY
efs-encrypted-check,EFS_ENCRYPTED_CHECK
efs-in-backup-plan,EFS_IN_BACKUP_PLAN
elasticache-redis-cluster-automatic-backup-check,ELASTICACHE_REDIS_CLUSTER_AUTOMATIC_BACKUP_CHECK
elasticsearch-encrypted-at-rest,ELASTICSEARCH_ENCRYPTED_AT_REST
elasticsearch-in-vpc-only,ELASTICSEARCH_IN_VPC_ONLY
elasticsearch-logs-to-cloudwatch,ELASTICSEARCH_LOGS_TO_CLOUDWATCH
elasticsearch-node-to-node-encryption-check,ELASTICSEARCH_NODE_TO_NODE_ENCRYPTION_CHECK
