ConfigRuleName,SourceIdentifier
alb-desync-mode-check,ALB_DESYNC_MODE_CHECK
alb-http-drop-invalid-header-enabled,ALB_HTTP_DROP_INVALID_HEADER_ENABLED
alb-http-to-https-redirection-check,ALB_HTTP_TO_HTTPS_REDIRECTION_CHECK
alb-waf-enabled,ALB_WAF_ENABLED
autoscaling-group-elb-healthcheck-required,AUTOSCALING_GROUP_ELB_HEALTHCHECK_REQUIRED
clb-desync-mode-check,CLB_DESYNC_MODE_CHECK
clb-multiple-az,CLB_MULTIPLE_AZ
elb-acm-certificate-required,ELB_ACM_CERTIFICATE_REQUIRED
elb-cross-zone-load-balancing-enabled,ELB_CROSS_ZONE_LOAD_BALANCING_ENABLED
elb-custom-security-policy-ssl-check,ELB_CUSTOM_SECURITY_POLICY_SSL_CHECK
elb-deletion-protection-enabled,ELB_DELETION_PROTECTION_ENABLED
elb-logging-enabled,ELB_LOGGING_ENABLED
elb-predefined-security-policy-ssl-check,ELB_PREDEFINED_SECURITY_POLICY_SSL_CHECK
elb-tls-https-listeners-only,ELB_TLS_HTTPS_LISTENERS_ONLY
elbv2-acm-certificate-required,ELBV2_ACM_CERTIFICATE_REQUIRED
elbv2-multiple-az,ELBV2_MULTIPLE_AZ
