ConfigRuleName,SourceIdentifier
api-gw-execution-logging-enabled,API_GW_EXECUTION_LOGGING_ENABLED
cloud-trail-cloud-watch-logs-enabled,CLOUD_TRAIL_CLOUD_WATCH_LOGS_ENABLED
cloudtrail-enabled,CLOUD_TRAIL_ENABLED
cloud-trail-encryption-enabled,CLOUD_TRAIL_ENCRYPTION_ENABLED
cloud-trail-log-file-validation-enabled,CLOUD_TRAIL_LOG_FILE_VALIDATION_ENABLED
cloudtrail-s3-dataevents-enabled,CLOUDTRAIL_S3_DATAEVENTS_ENABLED
cloudtrail-security-trail-enabled,CLOUDTRAIL_SECURITY_TRAIL_ENABLED
cloudwatch-log-group-encrypted,CLOUDWATCH_LOG_GROUP_ENCRYPTED
codebuild-project-logging-enabled,CODEBUILD_PROJECT_LOGGING_ENABLED
codebuild-project-s3-logs-encrypted,CODEBUILD_PROJECT_S3_LOGS_ENCRYPTED
cw-loggroup-retention-period-check,CW_LOGGROUP_RETENTION_PERIOD_CHECK
elasticsearch-logs-to-cloudwatch,ELASTICSEARCH_LOGS_TO_CLOUDWATCH
elb-logging-enabled,ELB_LOGGING_ENABLED
multi-region-cloudtrail-enabled,MULTI_REGION_CLOUD_TRAIL_ENABLED
opensearch-audit-logging-enabled,OPENSEARCH_AUDIT_LOGGING_ENABLED
opensearch-logs-to-cloudwatch,OPENSEARCH_LOGS_TO_CLOUDWATCH
rds-logging-enabled,RDS_LOGGING_ENABLED
redshift-audit-logging-enabled,REDSHIFT_AUDIT_LOGGING_ENABLED
redshift-cluster-configuration-check,REDSHIFT_CLUSTER_CONFIGURATION_CHECK
s3-bucket-logging-enabled,S3_BUCKET_LOGGING_ENABLED
vpc-flow-logs-enabled,VPC_FLOW_LOGS_ENABLED
wafv2-logging-enabled,WAFV2_LOGGING_ENABLED
