ConfigRuleName,SourceIdentifier
api-gw-xray-enabled,API_GW_XRAY_ENABLED
autoscaling-group-elb-healthcheck-required,AUTOSCALING_GROUP_ELB_HEALTHCHECK_REQUIRED
beanstalk-enhanced-health-reporting-enabled,BEANSTALK_ENHANCED_HEALTH_REPORTING_ENABLED
cloud-trail-cloud-watch-logs-enabled,CLOUD_TRAIL_CLOUD_WATCH_LOGS_ENABLED
cloudwatch-alarm-action-check,CLOUDWATCH_ALARM_ACTION_CHECK
cloudwatch-alarm-action-enabled-check,CLOUDWATCH_ALARM_ACTION_ENABLED_CHECK
codedeploy-auto-rollback-monitor-enabled,CODEDEPLOY_AUTO_ROLLBACK_MONITOR_ENABLED
codedeploy-ec2-minimum-healthy-hosts-configured,CODEDEPLOY_EC2_MINIMUM_HEALTHY_HOSTS_CONFIGURED
dynamodb-throughput-limit-check,DYNAMODB_THROUGHPUT_LIMIT_CHECK
ec2-instance-detailed-monitoring-enabled,EC2_INSTANCE_DETAILED_MONITORING_ENABLED
ecs-container-insights-enabled,ECS_CONTAINER_INSIGHTS_ENABLED
guardduty-enabled-centralized,GUARDDUTY_ENABLED_CENTRALIZED
guardduty-non-archived-findings,GUARDDUTY_NON_ARCHIVED_FINDINGS
lambda-concurrency-check,LAMBDA_CONCURRENCY_CHECK
lambda-dlq-check,LAMBDA_DLQ_CHECK
rds-enhanced-monitoring-enabled,RDS_ENHANCED_MONITORING_ENABLED
s3-event-notifications-enabled,S3_EVENT_NOTIFICATIONS_ENABLED
securityhub-enabled,SECURITYHUB_ENABLED
