ConfigRuleName,SourceIdentifier
access-keys-rotated,ACCESS_KEYS_ROTATED
cloudfront-security-policy-check,CLOUDFRONT_SECURITY_POLICY_CHECK
cloudfront-sni-enabled,CLOUDFRONT_SNI_ENABLED
transfer-family-server-no-ftp,TRANSFER_FAMILY_SERVER_NO_FTP
aurora-resources-protected-by-backup-plan,AURORA_RESOURCES_PROTECTED_BY_BACKUP_PLAN
db-instance-backup-enabled,DB_INSTANCE_BACKUP_ENABLED
dynamodb-in-backup-plan,DYNAMODB_IN_BACKUP_PLAN
dynamodb-resources-protected-by-backup-plan,DYNAMODB_RESOURCES_PROTECTED_BY_BACKUP_PLAN
ebs-in-backup-plan,EBS_IN_BACKUP_PLAN
ebs-resources-protected-by-backup-plan,EBS_RESOURCES_PROTECTED_BY_BACKUP_PLAN
ec2-resources-protected-by-backup-plan,EC2_RESOURCES_PROTECTED_BY_BACKUP_PLAN
efs-in-backup-plan,EFS_IN_BACKUP_PLAN
efs-resources-protected-by-backup-plan,EFS_RESOURCES_PROTECTED_BY_BACKUP_PLAN
elasticache-redis-cluster-automatic-backup-check,ELASTICACHE_REDIS_CLUSTER_AUTOMATIC_BACKUP_CHECK
fsx-resources-protected-by-backup-plan,FSX_RESOURCES_PROTECTED_BY_BACKUP_PLAN
neptune-cluster-backup-retention-check,NEPTUNE_CLUSTER_BACKUP_RETENTION_CHECK
rds-in-backup-plan,RDS_IN_BACKUP_PLAN
rds-resources-protected-by-backup-plan,RDS_RESOURCES_PROTECTED_BY_BACKUP_PLAN
redshift-backup-enabled,REDSHIFT_BACKUP_ENABLED
s3-resources-protected-by-backup-plan,S3_RESOURCES_PROTECTED_BY_BACKUP_PLAN
cloudfront-origin-access-identity-enabled,CLOUDFRONT_ORIGIN_ACCESS_IDENTITY_ENABLED
cloudfront-s3-origin-access-control-enabled,CLOUDFRONT_S3_ORIGIN_ACCESS_CONTROL_ENABLED
s3-bucket-default-lock-enabled,S3_BUCKET_DEFAULT_LOCK_ENABLED
s3-bucket-versioning-enabled,S3_BUCKET_VERSIONING_ENABLED
service-catalog-shared-within-organization,SERVICE_CATALOG_SHARED_WITHIN_ORGANIZATION
security-account-information-provided,SECURITY_ACCOUNT_INFORMATION_PROVIDED
acm-certificate-rsa-check,ACM_CERTIFICATE_RSA_CHECK
acm-pca-root-ca-disabled,ACM_PCA_ROOT_CA_DISABLED
api-gwv2-access-logs-enabled,API_GWV2_ACCESS_LOGS_ENABLED
api-gw-endpoint-type-check,API_GW_ENDPOINT_TYPE_CHECK
api-gw-xray-enabled,API_GW_XRAY_ENABLED
athena-workgroup-encrypted-at-rest,ATHENA_WORKGROUP_ENCRYPTED_AT_REST
cloudformation-stack-notification-check,CLOUDFORMATION_STACK_NOTIFICATION_CHECK
cloudfront-accesslogs-enabled,CLOUDFRONT_ACCESSLOGS_ENABLED
cloudfront-associated-with-waf,CLOUDFRONT_ASSOCIATED_WITH_WAF
cloudfront-custom-ssl-certificate,CLOUDFRONT_CUSTOM_SSL_CERTIFICATE
cloudtrail-security-trail-enabled,CLOUDTRAIL_SECURITY_TRAIL_ENABLED
s3-bucket-blacklisted-actions-prohibited,S3_BUCKET_BLACKLISTED_ACTIONS_PROHIBITED
s3-bucket-policy-not-more-permissive,S3_BUCKET_POLICY_NOT_MORE_PERMISSIVE
shield-drt-access,SHIELD_DRT_ACCESS
iam-policy-in-use,IAM_POLICY_IN_USE
lambda-function-settings-check,LAMBDA_FUNCTION_SETTINGS_CHECK
macie-auto-sensitive-data-discovery-check,MACIE_AUTO_SENSITIVE_DATA_DISCOVERY_CHECK
macie-status-check,MACIE_STATUS_CHECK
neptune-cluster-cloudwatch-log-export-enabled,NEPTUNE_CLUSTER_CLOUDWATCH_LOG_EXPORT_ENABLED
neptune-cluster-iam-database-authentication,NEPTUNE_CLUSTER_IAM_DATABASE_AUTHENTICATION
neptune-cluster-snapshot-encrypted,NEPTUNE_CLUSTER_SNAPSHOT_ENCRYPTED
neptune-cluster-snapshot-public-encrypted,NEPTUNE_CLUSTER_SNAPSHOT_PUBLIC_PROHIBITED
netfw-policy-default-action-fragment-packets,NETFW_POLICY_DEFAULT_ACTION_FRAGMENT_PACKETS
netfw-policy-default-action-full-packets,NETFW_POLICY_DEFAULT_ACTION_FULL_PACKETS
rds-cluster-iam-authentication-enabled,RDS_CLUSTER_IAM_AUTHENTICATION_ENABLED
