ConfigRuleName,SourceIdentifier
api-gw-associated-with-waf,API_GW_ASSOCIATED_WITH_WAF
api-gw-cache-enabled-and-encrypted,API_GW_CACHE_ENABLED_AND_ENCRYPTED
api-gw-execution-logging-enabled,API_GW_EXECUTION_LOGGING_ENABLED
api-gw-ssl-enabled,API_GW_SSL_ENABLED
api-gw-xray-enabled,API_GW_XRAY_ENABLED
dynamodb-autoscaling-enabled,DYNAMODB_AUTOSCALING_ENABLED
dynamodb-in-backup-plan,DYNAMODB_IN_BACKUP_PLAN
dynamodb-pitr-enabled,DYNAMODB_PITR_ENABLED
dynamodb-table-encrypted-kms,DYNAMODB_TABLE_ENCRYPTED_KMS
dynamodb-throughput-limit-check,DYNAMODB_THROUGHPUT_LIMIT_CHECK
lambda-concurrency-check,LAMBDA_CONCURRENCY_CHECK
lambda-dlq-check,LAMBDA_DLQ_CHECK
lambda-function-public-access-prohibited,LAMBDA_FUNCTION_PUBLIC_ACCESS_PROHIBITED
lambda-inside-vpc,LAMBDA_INSIDE_VPC
lambda-vpc-multi-az-check,LAMBDA_VPC_MULTI_AZ_CHECK
service-vpc-endpoint-enabled,SERVICE_VPC_ENDPOINT_ENABLED
service-vpc-endpoint-enabled-2,SERVICE_VPC_ENDPOINT_ENABLED
