ConfigRuleName,SourceIdentifier
db-instance-backup-enabled,DB_INSTANCE_BACKUP_ENABLED
rds-automatic-minor-version-upgrade-enabled,RDS_AUTOMATIC_MINOR_VERSION_UPGRADE_ENABLED
rds-cluster-default-admin-check,RDS_CLUSTER_DEFAULT_ADMIN_CHECK
rds-cluster-deletion-protection-enabled,RDS_CLUSTER_DELETION_PROTECTION_ENABLED
rds-cluster-iam-authentication-enabled,RDS_CLUSTER_IAM_AUTHENTICATION_ENABLED
rds-cluster-multi-az-enabled,RDS_CLUSTER_MULTI_AZ_ENABLED
rds-enhanced-monitoring-enabled,RDS_ENHANCED_MONITORING_ENABLED
rds-in-backup-plan,RDS_IN_BACKUP_PLAN
rds-instance-default-admin-check,RDS_INSTANCE_DEFAULT_ADMIN_CHECK
rds-instance-deletion-protection-enabled,RDS_INSTANCE_DELETION_PROTECTION_ENABLED
rds-instance-iam-authentication-enabled,RDS_INSTANCE_IAM_AUTHENTICATION_ENABLED
rds-instance-public-access-check,RDS_INSTANCE_PUBLIC_ACCESS_CHECK
rds-logging-enabled,RDS_LOGGING_ENABLED
rds-multi-az-support,RDS_MULTI_AZ_SUPPORT
rds-snapshot-encrypted,RDS_SNAPSHOT_ENCRYPTED
rds-snapshots-public-prohibited,RDS_SNAPSHOTS_PUBLIC_PROHIBITED
rds-storage-encrypted,RDS_STORAGE_ENCRYPTED
